ISO3v10,Country,Continent,ElevationZone,UrbanRuralDesignation,Population1990,PercentofCountryPopulation1990,Population2000,PercentofCountryPopulation2000,Population2010,PercentofCountryPopulation2010,Population2100,PercentofCountryPopulation2100
DZA,Algeria,Africa,10m LECZ: 1 km Cell Size,Rural,144990,0.6,153391,0.5,170660,0.5,254103,0.4
DZA,Algeria,Africa,10m LECZ: 1 km Cell Size,Urban,467158,1.8,603441,2,742597,2.1,967033,1.7
DZA,Algeria,Africa,10m LECZ: 90m Cell Size,Rural,80182,0.3,86281,0.3,95995,0.3,144794,0.3
DZA,Algeria,Africa,10m LECZ: 90m Cell Size,Urban,298082,1.2,385441,1.3,474326,1.3,610378,1.1
DZA,Algeria,Africa,Total National Population,Rural,11824541,46.8,12735206,41.8,14168998,39.4,25071522,44.3
DZA,Algeria,Africa,Total National Population,Urban,13462918,53.2,17723960,58.2,21811195,60.6,31466756,55.7
AGO,Angola,Africa,10m LECZ: 1 km Cell Size,Rural,46374,0.6,63713,0.5,88187,0.4,441275,0.9
AGO,Angola,Africa,10m LECZ: 1 km Cell Size,Urban,338323,4.2,553786,4,825028,4.2,1350903,2.7
AGO,Angola,Africa,10m LECZ: 90m Cell Size,Rural,46514,0.6,61117,0.4,84595,0.4,466041,0.9
AGO,Angola,Africa,10m LECZ: 90m Cell Size,Urban,253003,3.1,380588,2.8,566998,2.9,911507,1.8
AGO,Angola,Africa,Total National Population,Rural,5386003,66.1,9410649,68,13025640,66.4,37733452,75.2
AGO,Angola,Africa,Total National Population,Urban,2759857,33.9,4425300,32,6592792,33.6,12469711,24.8
BEN,Benin,Africa,10m LECZ: 1 km Cell Size,Rural,221548,4.3,335460,4.7,416729,4.6,1207995,5
BEN,Benin,Africa,10m LECZ: 1 km Cell Size,Urban,838020,16.2,1148951,16,1496594,16.4,3638891,15.1
BEN,Benin,Africa,10m LECZ: 90m Cell Size,Rural,232172,4.5,351811,4.9,437042,4.8,1264689,5.3
BEN,Benin,Africa,10m LECZ: 90m Cell Size,Urban,906612,17.5,1238770,17.2,1613591,17.7,3926636,16.3
BEN,Benin,Africa,Total National Population,Rural,3114187,60.1,4553745,63.3,5656945,62.2,15561468,64.8
BEN,Benin,Africa,Total National Population,Urban,2064073,39.9,2643209,36.7,3442977,37.8,8469834,35.2
CMR,Cameroon,Africa,10m LECZ: 1 km Cell Size,Rural,65274,0.6,76183,0.5,100637,0.5,139981,0.5
CMR,Cameroon,Africa,10m LECZ: 1 km Cell Size,Urban,241558,2.1,350876,2.4,485710,2.4,536804,1.8
CMR,Cameroon,Africa,10m LECZ: 90m Cell Size,Rural,102926,0.9,118030,0.8,155914,0.8,200841,0.7
CMR,Cameroon,Africa,10m LECZ: 90m Cell Size,Urban,254080,2.2,371557,2.5,514338,2.6,586854,2
CMR,Cameroon,Africa,Total National Population,Rural,7170568,61.6,8362437,56.3,11046578,55.1,17240148,59
CMR,Cameroon,Africa,Total National Population,Urban,4477369,38.4,6489879,43.7,8983784,44.9,12004398,41
CPV,Cape Verde,Africa,10m LECZ: 1 km Cell Size,Rural,28897,8.4,35270,8.1,39272,7.8,30856,8.1
CPV,Cape Verde,Africa,10m LECZ: 1 km Cell Size,Urban,14005,4.1,23077,5.3,27512,5.5,20189,5.3
CPV,Cape Verde,Africa,10m LECZ: 90m Cell Size,Rural,11485,3.3,14068,3.2,15664,3.1,12308,3.2
CPV,Cape Verde,Africa,10m LECZ: 90m Cell Size,Urban,11855,3.5,21072,4.8,25122,5,18435,4.8
CPV,Cape Verde,Africa,Total National Population,Rural,205844,60,237960,54.6,264961,52.9,208177,54.6
CPV,Cape Verde,Africa,Total National Population,Urban,137242,40,197643,45.4,235624,47.1,172908,45.4
CIV,Cote d'Ivoire,Africa,10m LECZ: 1 km Cell Size,Rural,67649,0.5,105674,0.6,124965,0.6,334690,0.9
CIV,Cote d'Ivoire,Africa,10m LECZ: 1 km Cell Size,Urban,786193,6.2,957226,5.7,1196465,5.9,2320274,6
CIV,Cote d'Ivoire,Africa,10m LECZ: 90m Cell Size,Rural,72355,0.6,113260,0.7,133937,0.7,348440,0.9
CIV,Cote d'Ivoire,Africa,10m LECZ: 90m Cell Size,Urban,873947,6.9,1064054,6.4,1329993,6.6,2788500,7.2
CIV,Cote d'Ivoire,Africa,Total National Population,Rural,7733727,61.1,11344969,67.8,13416051,66.6,23758002,61.4
CIV,Cote d'Ivoire,Africa,Total National Population,Urban,4923452,38.9,5389778,32.2,6736843,33.4,14922740,38.6
COD,Democratic Republic of the Congo,Africa,10m LECZ: 1 km Cell Size,Rural,4591,0,11602,0,15565,0,31452,0
COD,Democratic Republic of the Congo,Africa,10m LECZ: 1 km Cell Size,Urban,6912,0,6764,0,9443,0,13609,0
COD,Democratic Republic of the Congo,Africa,10m LECZ: 90m Cell Size,Rural,5915,0,14517,0,19475,0,38723,0
COD,Democratic Republic of the Congo,Africa,10m LECZ: 90m Cell Size,Urban,30484,0.1,31341,0.1,43752,0.1,69041,0
COD,Democratic Republic of the Congo,Africa,Total National Population,Rural,27955392,74,38844100,77.6,52112504,76.9,173499840,82.9
COD,Democratic Republic of the Congo,Africa,Total National Population,Urban,9808615,26,11207029,22.4,15645073,23.1,35876968,17.1
DJI,Djibouti,Africa,10m LECZ: 1 km Cell Size,Rural,5802,1,8757,1.2,11116,1.2,21353,1.3
DJI,Djibouti,Africa,10m LECZ: 1 km Cell Size,Urban,203509,36.7,264880,37.3,337971,37.3,460868,29.1
DJI,Djibouti,Africa,10m LECZ: 90m Cell Size,Rural,8492,1.5,11398,1.6,14469,1.6,24111,1.5
DJI,Djibouti,Africa,10m LECZ: 90m Cell Size,Urban,160033,28.8,207889,29.3,265253,29.3,365075,23
DJI,Djibouti,Africa,Total National Population,Rural,145182,26.2,181424,25.5,230299,25.4,608523,38.4
DJI,Djibouti,Africa,Total National Population,Urban,409810,73.8,529229,74.5,675265,74.6,976761,61.6
EGY,Egypt,Africa,10m LECZ: 1 km Cell Size,Rural,11490747,20.8,14225177,21.3,17505172,21.2,44243440,24.5
EGY,Egypt,Africa,10m LECZ: 1 km Cell Size,Urban,9388177,17,11072172,16.6,13688436,16.6,42936808,23.8
EGY,Egypt,Africa,10m LECZ: 90m Cell Size,Rural,11115335,20.1,13754248,20.6,16925658,20.5,42845544,23.7
EGY,Egypt,Africa,10m LECZ: 90m Cell Size,Urban,8785626,15.9,10347814,15.5,12792918,15.5,40629660,22.5
EGY,Egypt,Africa,Total National Population,Rural,15963570,28.9,19783380,29.6,24344968,29.5,58590084,32.4
EGY,Egypt,Africa,Total National Population,Urban,39354760,71.1,47069632,70.4,58191802,70.5,122165456,67.6
GNQ,Equatorial Guinea,Africa,10m LECZ: 1 km Cell Size,Rural,6907,2,9649,2.2,15509,2.2,15653,2.4
GNQ,Equatorial Guinea,Africa,10m LECZ: 1 km Cell Size,Urban,25497,7.2,19014,4.2,30693,4.3,23694,3.7
GNQ,Equatorial Guinea,Africa,10m LECZ: 90m Cell Size,Rural,3361,1,4939,1.1,7938,1.1,8311,1.3
GNQ,Equatorial Guinea,Africa,10m LECZ: 90m Cell Size,Urban,8734,2.5,6452,1.4,10415,1.4,9169,1.4
GNQ,Equatorial Guinea,Africa,Total National Population,Rural,259493,73.7,378325,84.5,608067,84.4,566849,87.4
GNQ,Equatorial Guinea,Africa,Total National Population,Urban,92456,26.3,69473,15.5,112146,15.6,81370,12.6
ERI,Eritrea,Africa,10m LECZ: 1 km Cell Size,Rural,42623,1.4,49877,1.4,75537,1.4,223617,1.6
ERI,Eritrea,Africa,10m LECZ: 1 km Cell Size,Urban,11310,0.4,13299,0.4,20974,0.4,89091,0.7
ERI,Eritrea,Africa,10m LECZ: 90m Cell Size,Rural,38426,1.3,44982,1.3,68124,1.3,205113,1.5
ERI,Eritrea,Africa,10m LECZ: 90m Cell Size,Urban,12242,0.4,14397,0.4,22706,0.4,94758,0.7
ERI,Eritrea,Africa,Total National Population,Rural,2588266,85.3,2973493,83.7,4503254,83.2,11750676,85.8
ERI,Eritrea,Africa,Total National Population,Urban,445770,14.7,578300,16.3,912026,16.8,1947232,14.2
ETH,Ethiopia,Africa,10m LECZ: 1 km Cell Size,Rural,0,0,0,0,0,0,0,0
ETH,Ethiopia,Africa,10m LECZ: 1 km Cell Size,Urban,0,0,0,0,0,0,0,0
ETH,Ethiopia,Africa,10m LECZ: 90m Cell Size,Rural,0,0,0,0,0,0,0,0
ETH,Ethiopia,Africa,10m LECZ: 90m Cell Size,Urban,0,0,0,0,0,0,0,0
ETH,Ethiopia,Africa,Total National Population,Rural,45886408,89.9,60925468,88.9,75086726,88.6,236294384,90.4
ETH,Ethiopia,Africa,Total National Population,Urban,5153849,10.1,7599685,11.1,9647536,11.4,25219054,9.6
GAB,Gabon,Africa,10m LECZ: 1 km Cell Size,Rural,32452,3.4,43827,3.5,50354,3.3,166500,5.9
GAB,Gabon,Africa,10m LECZ: 1 km Cell Size,Urban,111105,11.7,156428,12.4,194940,12.7,413605,14.6
GAB,Gabon,Africa,10m LECZ: 90m Cell Size,Rural,31953,3.4,41620,3.3,47818,3.1,157225,5.5
GAB,Gabon,Africa,10m LECZ: 90m Cell Size,Urban,145981,15.3,202359,16,252179,16.4,586962,20.7
GAB,Gabon,Africa,Total National Population,Rural,357221,37.5,434285,34.3,498958,32.5,819333,28.9
GAB,Gabon,Africa,Total National Population,Urban,594887,62.5,830769,65.7,1035304,67.5,2017882,71.1
GMB,Gambia,Africa,10m LECZ: 1 km Cell Size,Rural,148472,16.2,175436,13.6,233265,13.1,544844,16.8
GMB,Gambia,Africa,10m LECZ: 1 km Cell Size,Urban,190405,20.8,283857,22,401286,22.6,673581,20.7
GMB,Gambia,Africa,10m LECZ: 90m Cell Size,Rural,158703,17.3,185301,14.3,246382,13.9,606256,18.6
GMB,Gambia,Africa,10m LECZ: 90m Cell Size,Urban,172026,18.8,255772,19.8,361582,20.4,613560,18.9
GMB,Gambia,Africa,Total National Population,Rural,511964,55.9,611283,47.3,812782,45.8,1664690,51.2
GMB,Gambia,Africa,Total National Population,Urban,404351,44.1,681424,52.7,963321,54.2,1586191,48.8
GHA,Ghana,Africa,10m LECZ: 1 km Cell Size,Rural,199835,1.3,236078,1.2,289256,1.2,788166,1.6
GHA,Ghana,Africa,10m LECZ: 1 km Cell Size,Urban,344822,2.2,469430,2.4,608860,2.4,1109135,2.2
GHA,Ghana,Africa,10m LECZ: 90m Cell Size,Rural,234067,1.5,279145,1.4,342024,1.4,907303,1.8
GHA,Ghana,Africa,10m LECZ: 90m Cell Size,Urban,495372,3.2,670023,3.4,869032,3.5,1550361,3.1
GHA,Ghana,Africa,Total National Population,Rural,9291815,60,11139585,56.1,13648855,54.7,30797370,61.1
GHA,Ghana,Africa,Total National Population,Urban,6186076,40,8725368,43.9,11316961,45.3,19588586,38.9
GIN,Guinea,Africa,10m LECZ: 1 km Cell Size,Rural,164620,2.6,164245,1.9,197177,1.9,1517658,4.2
GIN,Guinea,Africa,10m LECZ: 1 km Cell Size,Urban,400484,6.4,476498,5.7,592405,5.8,4731328,13
GIN,Guinea,Africa,10m LECZ: 90m Cell Size,Rural,168213,2.7,171689,2,206113,2,1609055,4.4
GIN,Guinea,Africa,10m LECZ: 90m Cell Size,Urban,412553,6.6,491011,5.8,610449,6,4806786,13.2
GIN,Guinea,Africa,Total National Population,Rural,4357524,70.1,6138252,72.8,7368991,72.1,20799882,57
GIN,Guinea,Africa,Total National Population,Urban,1859029,29.9,2294649,27.2,2852817,27.9,15721271,43
GNB,Guinea Bissau,Africa,10m LECZ: 1 km Cell Size,Rural,250018,24.6,332727,24.4,371500,24,2665574,30.1
GNB,Guinea Bissau,Africa,10m LECZ: 1 km Cell Size,Urban,73018,7.2,102167,7.5,121174,7.8,823561,9.3
GNB,Guinea Bissau,Africa,10m LECZ: 90m Cell Size,Rural,253795,25,337599,24.7,376939,24.4,2670583,30.1
GNB,Guinea Bissau,Africa,10m LECZ: 90m Cell Size,Urban,87220,8.6,121716,8.9,144360,9.3,994272,11.2
