Continent,ElevationZone,UrbanRuralDesignation,Population1990,Population2000,Population2010,Population2100,LandArea
Africa,Elevations > 20m or Non-Contiguous ,Rural,333302081,418265923,530184094,1249908321,23749644
Africa,Elevations > 20m or Non-Contiguous ,Urban,157846329,210381843,266776037,504662423,204719
Africa,Elevations Less Than or Equal To 10m ,Rural,18167003,22569516,28154645,76368900,172460
Africa,Elevations Less Than or Equal To 10m ,Urban,22412955,28679117,36746774,94042536,13838
Africa,Elevations Less Than or Equal To 12m ,Rural,20569411,25576481,31957186,85839163,202456
Africa,Elevations Less Than or Equal To 12m ,Urban,25761403,32968917,42205337,105920405,16035
Africa,Elevations Less Than or Equal To 1m,Rural,3052584,3891608,4785451,14152403,21939
Africa,Elevations Less Than or Equal To 1m,Urban,4056678,4791461,5915752,21137853,2193
Africa,Elevations Less Than or Equal To 20m ,Rural,27791636,34704704,43734340,118040942,342694
Africa,Elevations Less Than or Equal To 20m ,Urban,37566072,47749797,60835348,145244129,23456
Africa,Elevations Less Than or Equal To 3m,Rural,6178557,7763536,9586584,27430640,46301
Africa,Elevations Less Than or Equal To 3m,Urban,7194770,8762218,11005850,34775942,4662
Africa,Elevations Less Than or Equal To 5m,Rural,9969005,12408335,15403231,43327033,84084
Africa,Elevations Less Than or Equal To 5m,Urban,11597788,14488902,18449258,53508839,7366
Africa,Elevations Less Than or Equal To 7m,Rural,13595903,16884460,21018235,58101349,121581
Africa,Elevations Less Than or Equal To 7m,Urban,16197359,20564492,26333878,71409170,10121
Africa,Elevations Less Than or Equal To 9m,Rural,16858764,20937690,26100880,71204360,156291
Africa,Elevations Less Than or Equal To 9m,Urban,20542430,26255213,33641605,87324590,12665
Africa,Total National Population,Rural,361093713,452970623,573918429,1367949254,24092338
Africa,Total National Population,Urban,195412402,258131640,327611385,649906552,228175
Asia,Elevations > 20m or Non-Contiguous ,Rural,1680481883,1798416711,1974005089,2874557238,37883607
Asia,Elevations > 20m or Non-Contiguous ,Urban,918668080,1175247232,1262609098,1764942637,1122788
Asia,Elevations Less Than or Equal To 10m ,Rural,191278674,210541251,234663295,374695595,969683
Asia,Elevations Less Than or Equal To 10m ,Urban,203398169,252379433,290492264,377327872,129278
Asia,Elevations Less Than or Equal To 12m ,Rural,219960928,243052196,271741911,437367709,1128770
Asia,Elevations Less Than or Equal To 12m ,Urban,233147526,289429187,333361953,434901291,149673
Asia,Elevations Less Than or Equal To 1m,Rural,18459117,20808077,22164683,33476823,109974
Asia,Elevations Less Than or Equal To 1m,Urban,15105001,19858184,21974625,27586527,12590
Asia,Elevations Less Than or Equal To 20m ,Rural,299462435,331270619,371915099,603768417,1764932
Asia,Elevations Less Than or Equal To 20m ,Urban,319318447,397909472,458321169,604216625,213823
Asia,Elevations Less Than or Equal To 3m,Rural,48168060,53093971,57758563,85812360,266138
Asia,Elevations Less Than or Equal To 3m,Urban,37555825,48341898,54512396,68677562,31423
